Original,Inflection,msarhan,elasticsearch
علم,علم,,
علم,العلم,,
علم,العلوم,,
علم,علوم,,
علم,التعليم,,
علم,معلم,,
علم,المعلم,,
علم,معلمة,,
علم,المعلمة,,
علم,معلمان,,
علم,المعلمان,,
علم,معلمون,,
علم,المعلمون,,
علم,معلمتان,,
علم,المعلمتان,,
علم,المعلمات,,
علم,معلمين,,
علم,المعلمين,,
علم,معلومة,,
علم,المعلومة,,
علم,معلومات,,
علم,المعلومات,,
علم,أستعلم,,
علم,أستعلام,,
علم,علمي,,
علم,علمه,,
علم,علمها,,
علم,علمهما,,
علم,علمهنا,,
علم,علمهم,,
علم,علمنا,,
علم,علمهن,,
علم,علمكم,,
علم,علمكن,,
علم,علمك,,
علم,علمكما,,
علم,علمكنا,,
علم,أستعلامات,,
علم,الأستعلامات,,
شجرة,شجرة,,
شجرة,الشجرة,,
شجرة,أشجار,,
شجرة,الأشجار,,
شجرة,شجيرات,,
شجرة,الشجيرات,,
شجرة,شجرتان,,
شجرة,الشجرتان,,
شجرة,شجرتين,,
شجرة,الشجرتين,,
شجرة,تشجير,,
شجرة,التشجير,,
شجرة,شجرتي,,
شجرة,شجرته,,
شجرة,شجرتها,,
شجرة,شجرتهما,,
شجرة,شجرتهنا,,
شجرة,شجرهم,,
شجرة,أشجارنا,,
شجرة,اشجارهن,,
شجرة,أشجاركم,,
شجرة,أشجاركن,,
شجرة,أشجارك,,
شجرة,أشجاركما,,
شجرة,أشجاركنا,,
عائلة,عائلة,,
عائلة,العائلة,,
عائلة,عائلات,,
عائلة,العائلات,,
عائلة,عوائل,,
عائلة,العوائل,,
عائلة,عائل,,
عائلة,العائل,,
عائلة,يعول,,
عائلة,المعول,,
عائلة,عائلتان,,
عائلة,العائلتان,,
عائلة,عائلتين,,
عائلة,العائلتين,,
عائلة,عائلتي,,
عائلة,عائلته,,
عائلة,عائلتها,,
عائلة,عائلتهما,,
عائلة,عائلتهنا,,
عائلة,عائلتهم,,
عائلة,عائلتنا,,
عائلة,عائلتهن,,
عائلة,عائلتكم,,
عائلة,عائلتكن,,
عائلة,عائلتك,,
عائلة,عائلتكما,,
عائلة,عائلتكنا,,
غربة,غربة,,
غربة,الغربة,,
غربة,غرباء,,
غربة,الغرباء,,
غربة,غريب,,
غربة,الغريب,,
غربة,غريبة,,
غربة,الغريبة,,
غربة,اغرب,,
غربة,الغرب,,
غربة,غربية,,
غربة,الغربية,,
غربة,غربية,,
غربة,الغربي,,
غربة,غرائب,,
غربة,الغرائب,,
غربة,غريبات,,
غربة,الغريبات,,
غربة,غريبين,,
غربة,الغريبين,,
غربة,غريبون,,
غربة,الغريبون,,
غربة,غريبان,,
غربة,الغريبان,,
غربة,غريباتان,,
غربة,الغريباتان,,
غربة,غريبتين,,
غربة,الغريبتين,,
غربة,مغترب,,
غربة,المغترب,,
غربة,مغتربة,,
غربة,المغتربة,,
غربة,المغرب,,
غربة,المغربي,,
غربة,مغرب,,
غربة,مغربية,,
غربة,المغربية,,
غربة,مغربي,,
جميل,جميل,,
جميل,الجمال,,
جميل,جميل,,
جميل,الجميل,,
جميل,جميلة,,
جميل,الجميلة,,
جميل,جميلين,,
جميل,الجملين,,
جميل,جميلتين,,
جميل,الجميلتين,,
جميل,جملاء,,
جميل,الجملاء,,
جميل,جميلات,,
جميل,الجميلات,,
جميل,أجمل,,
جميل,الأجمل,,
جميل,تجميل,,
جميل,التجميل,,
جميل,مجمل,,
جميل,المجمل,,
جميل,تجملاً,,
جميل,جمالاٌ,,
جميل,جميلي,,
جميل,جميلته,,
جميل,جميلتها,,
جميل,جميلتهما,,
جميل,جميلتهنا,,
جميل,جميلتهم,,
جميل,جميلتنا,,
جميل,جميلتهن,,
جميل,جميلتكم,,
جميل,جميلتكن,,
جميل,جميلتك,,
جميل,جميلتكما,,
جميل,جميلتكنا,,
صغير,صغير,,
صغير,أصغر,,
صغير,الأصغر,,
صغير,الصغير,,
صغير,الصغار,,
صغير,صغار,,
صغير,صغيرين,,
صغير,الصغيرين,,
صغير,صغيران,,
صغير,الصغيران,,
صغير,صغيرتين,,
صغير,الصغيرتين,,
صغير,الصغيرون,,
صغير,صغيرون,,
صغير,الصغيرات,,
صغير,صغيرات,,
صغير,صغيري,,
صغير,صغيره,,
صغير,صغيرها,,
صغير,صغيرهما,,
صغير,صغيرهنا,,
صغير,صغيرهم,,
صغير,صغيرنا,,
صغير,صغيرهن,,
صغير,صغيركم,,
صغير,صغيركن,,
صغير,صغيرك,,
صغير,صغيركما,,
صغير,صغيركنا,,
