Original,Inflection,msarhan,elasticsearch
واحد,واحد,,
واحد,الواحد,,
واحد,واحداً,,
واحد,الواحدة,,
واحد,واحدة,,
واحد,أحدى,,
أثنين,أثنين,,
أثنين,ثانية,,
أثنين,الثانية,,
أثنين,ثانياً,,
أثنين,أثنتين,,
أثنين,أثنين,,
أثنين,الأثنين,,
أثنين,أثنان,,
أثنين,أثنتان,,
أثنين,الأثنان,,
ثلاثة,ثلاثة,,
ثلاثة,ثلاث,,
ثلاثة,الثالثة,,
ثلاثة,ثالثة,,
ثلاثة,ثالث,,
ثلاثة,الثالث,,
ثلاثة,ثلاثين,,
ثلاثة,الثلاث,,
ثلاثة,الثلاثين,,
ثلاثة,ثالثاً,,
ثلاثة,ثلث,,
ثلاثة,الثلث,,
ثلاثة,ثلثين,,
ثلاثة,الثلثين,,
ثلاثة,الأثلاث,,
ثلاثة,الثلثان,,
ثلاثة,ثلثان,,
ثلاثة,مثلث,,
ثلاثة,المثلث,,
أربعة,أربعة,,
أربعة,أربع,,
أربعة,الأربع,,
أربعة,أربعين,,
أربعة,الأربعين,,
أربعة,الرابع,,
أربعة,رابعاً,,
أربعة,الاربعون,,
أربعة,أربعون,,
أربعة,ربع,,
أربعة,الربع,,
أربعة,الارباع,,
أربعة,المربع,,
أربعة,مربع,,
أربعة,الأربعة,,
خمسة,خمسة,,
خمسة,الخمسة,,
خمسة,خمس,,
خمسة,الخمس,,
خمسة, خمسون,,
خمسة,الخمسون,,
خمسة,خامساً,,
خمسة,الخامس,,
خمسة,خمسين,,
خمسة,الخمسين,,
خمسة,الخماسي,,
خمسة,خماسي,,
ستة,ستة,,
ستة,الستة,,
ستة,ستون,,
ستة,ستين,,
ستة,الستون,,
ستة,الستين,,
ستة,السادس,,
ستة,سادساً,,
ستة,سدس,,
ستة,السدس,,
سبعة,سبعة,,
سبعة,سبع,,
سبعة,السبعة,,
سبعة,سابع,,
سبعة,السابع,,
سبعة,سابعاً,,
سبعة,السبع,,
سبعة,سبع,,
سبعة,سبعين,,
سبعة,السبعين,,
سبعة,سبعون,,
سبعة,السبعون,,
ثمانية,ثمانية,,
ثمانية,ثمان,,
ثمانية,الثمانية,,
ثمانية,ثمن,,
ثمانية,الثمن,,
ثمانية,الثامن,,
ثمانية,ثامن,,
ثمانية,ثامناً,,
ثمانية,ثمانين,,
ثمانية,الثمانين,,
ثمانية,ثمانون,,
ثمانية,الثمانون,,
ثمانية,الثامنة,,
تسعة,تسعة,,
تسعة,تسع,,
تسعة,التسع,,
تسعة,التسعة,,
تسعة,تاسع,,
تسعة,تاسعاً,,
تسعة,التاسع,,
تسعة,تسع,,
تسعة,التسع,,
تسعة,التاسعة,,
تسعة,تاسعة,,
عشرة,عشرة,,
عشرة,العشرة,,
عشرة,عشرات,,
عشرة,عشر,,
عشرة,عشر,,
عشرة,العشر,,
