Original,Inflection,msarhan,elasticsearch
أخذ ,أخذ ,,
أخذ,أخذ,,
أخذ,تأخذ,,
أخذ,تأخذين,,
أخذ,تأخذي,,
أخذ,تأخذون,,
أخذ,تأخذوا,,
أخذ,تأخذن,,
أخذ,يأخذ,,
أخذ,تأخذ,,
أخذ,تأخذان,,
أخذ,تأخذا,,
أخذ,تأخذان,,
أخذ,تأخذا,,
أخذ,يأخذون,,
أخذ,يأخذوا,,
أخذ,يأخذن,,
أخذ,نأخذ,,
أخذ,أخذت,,
أخذ,أخذت,,
أخذ,أخذت,,
أخذ,أخذتم,,
أخذ,أخذتن,,
أخذ,أخذ,,
أخذ,أخذت,,
أخذ,أخذا,,
أخذ,أخذنا,,
أخذ,أخذوا,,
أخذ,أخذن,,
أخذ,أخذنا,,
أخذ,خذ,,
أخذ,خذي,,
أخذ,خذوا,,
أخذ,خذن,,
سوق,سوق,,
سوق,اسوق,,
سوق,تسوق,,
سوق,تسوقين,,
سوق,تسوقي,,
سوق,تسوقون,,
سوق,تسوقوا,,
سوق,تسوقن,,
سوق,يسوق,,
سوق,تسوق,,
سوق,يسوقان,,
سوق,يسوقا,,
سوق,تسوقان ,,
سوق,تسوقا,,
سوق,يسوقون,,
سوق,يسوقوا,,
سوق,يسوقن,,
سوق,نسوق,,
سوق,سوقت,,
سوق,تسوق,,
سوق,سوقت,,
سوق,سوقتوا,,
سوق,سوقتن,,
سوق,سوق,,
سوق,سوقت,,
سوق,سوقا,,
سوق,سوقتنا,,
سوق,سوقتن,,
سوق,سوقتن,,
سوق,سوقنا,,
سوق,سوق,,
سوق,سوقي,,
سوق,سوقا,,
سوق,سوقن,,
صور,صور,,
صور,اصور,,
صور,تصور,,
صور,تصورين,,
صور,تصوري,,
صور,تصوران,,
صور,تصورا,,
صور,تصورنا,,
صور,يصور,,
صور,تصور,,
صور,يصوران,,
صور,يصورا,,
صور,تصورنا,,
صور,تصورا,,
صور,يصورون,,
صور,يصوروا,,
صور,يصورن,,
صور,نصور,,
صور,صورت,,
صور,صورتي,,
صور,صور,,
صور,صورتما,,
صور,صورنا,,
صور,صور,,
صور,صورت,,
صور,صورا,,
صور,صورنا,,
صور,صوروا,,
صور,صورن,,
صور,صورنا,,
صور,صور,,
صور,صوري,,
صور,صوروا,,
صور,صورن,,
بقى,بقى,,
بقى,أبقى,,
بقى,تبقى,,
بقى,تبقين,,
بقى,تبقي,,
بقى,تبقوا,,
بقى,تبقون,,
بقى,تبقين,,
بقى,يبقى,,
بقى,تبقى,,
بقى,يبقيان,,
بقى,يبقا,,
بقى,تبقيان,,
بقى,تبقيا,,
بقى,يبقون,,
بقى,يبقوا,,
بقى,يبقين,,
بقى,نبقى,,
بقى,بقيت,,
بقى,بقيت,,
بقى,بقيتي,,
بقى,بقيتم,,
بقى,بقيتن,,
بقى,بقى,,
بقى,بقت,,
بقى,بقوا,,
بقى,بقين,,
بقى,بقوا,,
بقى,بقين,,
بقى,بقينا,,
بقى,أبق,,
بقى,أبقي,,
بقى,أبقوا,,
بقى,أبقين,,
لاح,لاح,,
لاح,ألوح,,
لاح,تلوح,,
لاح,تلوحين,,
لاح,تلوحين,,
لاح,تلوحون,,
لاح,تلوحوا,,
لاح,تلحن,,
لاح,يلوح,,
لاح,تلوح,,
لاح,يلوحان,,
لاح,يلوحنا,,
لاح,تلوحان,,
لاح,تلوحان,,
لاح,يلوحون,,
لاح,يلوحوا,,
لاح,يلحن,,
لاح,نلوح,,
لاح,لحت,,
لاح,لحت,,
لاح,لحت,,
لاح,لحتم,,
لاح,لحن,,
لاح,لاح,,
لاح,لاحت,,
لاح,لاحا,,
لاح,لاحتا,,
لاح,لاحوا,,
لاح,لحن,,
لاح,لحنا,,
لاح,لح,,
لاح,لوحي,,
لاح,لوحوا,,
لاح,لحن,,
سأل,سأل,,
سأل,أسأل,,
سأل,تسأل,,
سأل,تسألين,,
سأل,تسألي,,
سأل,تسألون,,
سأل,تسألوا,,
سأل,تسألن,,
سأل,يسأل,,
سأل,تسأل,,
سأل,يسألان,,
سأل,يسألا,,
سأل,تسألان,,
سأل,تسألا,,
سأل,يسألون,,
سأل,يسألوا,,
سأل,يسألن,,
سأل,نسأل,,
سأل,سألت,,
سأل,سألت,,
سأل,سألت,,
سأل,سألتم,,
سأل,سألتن,,
سأل,سأل,,
سأل,سألت,,
سأل,سألا,,
سأل,سألتا,,
سأل,سألوا,,
سأل,سألن,,
سأل,سألنا,,
سأل,إسأل,,
سأل,إسألي,,
سأل,إسألوا,,
سأل,إسألن,,
شرى,شرى,,
شرى,أشتري,,
شرى,تشتري,,
شرى,تشترين,,
شرى,تشتري,,
شرى,تشترون,,
شرى,تشتروا,,
شرى,تشترين,,
شرى,يشتري,,
