Original,Inflection,ar_std_lem_folding2,is_same
أخذ,أخذ ,اخذ,False
أخذ,أخذ,اخذ,False
أخذ,تأخذ,تاخذ,False
أخذ,تأخذين,تاخذ,False
أخذ,تأخذي,تاخذ,False
أخذ,تأخذون,تاخذ,False
أخذ,تأخذوا,تاخذوا,False
أخذ,تأخذن,تاخذن,False
أخذ,يأخذ,ياخذ,False
أخذ,تأخذ,تاخذ,False
أخذ,تأخذان,تاخذ,False
أخذ,تأخذا,تاخذا,False
أخذ,تأخذان,تاخذ,False
أخذ,تأخذا,تاخذا,False
أخذ,يأخذون,ياخذ,False
أخذ,يأخذوا,ياخذوا,False
أخذ,يأخذن,ياخذن,False
أخذ,نأخذ,ناخذ,False
أخذ,أخذت,اخذت,False
أخذ,أخذت,اخذت,False
أخذ,أخذت,اخذت,False
أخذ,أخذتم,اخذتم,False
أخذ,أخذتن,اخذتن,False
أخذ,أخذ,اخذ,False
أخذ,أخذت,اخذت,False
أخذ,أخذا,اخذا,False
أخذ,أخذنا,اخذنا,False
أخذ,أخذوا,اخذوا,False
أخذ,أخذن,اخذن,False
أخذ,أخذنا,اخذنا,False
أخذ,خذ,خذ,False
أخذ,خذي,خذ,False
أخذ,خذوا,خذوا,False
أخذ,خذن,خذن,False
سوق,سوق,سوق,True
سوق,اسوق,اسوق,False
سوق,تسوق,تسوق,False
سوق,تسوقين,تسوق,False
سوق,تسوقي,تسوق,False
سوق,تسوقون,تسوق,False
سوق,تسوقوا,تسوقوا,False
سوق,تسوقن,تسوقن,False
سوق,يسوق,يسوق,False
سوق,تسوق,تسوق,False
سوق,يسوقان,يسوق,False
سوق,يسوقا,يسوقا,False
سوق,تسوقان ,تسوق,False
سوق,تسوقا,تسوقا,False
سوق,يسوقون,يسوق,False
سوق,يسوقوا,يسوقوا,False
سوق,يسوقن,يسوقن,False
سوق,نسوق,نسوق,False
سوق,سوقت,سوقت,False
سوق,تسوق,تسوق,False
سوق,سوقت,سوقت,False
سوق,سوقتوا,سوقتوا,False
سوق,سوقتن,سوقتن,False
سوق,سوق,سوق,True
سوق,سوقت,سوقت,False
سوق,سوقا,سوقا,False
سوق,سوقتنا,سوقتنا,False
سوق,سوقتن,سوقتن,False
سوق,سوقتن,سوقتن,False
سوق,سوقنا,سوقنا,False
سوق,سوق,سوق,True
سوق,سوقي,سوق,True
سوق,سوقا,سوقا,False
سوق,سوقن,سوقن,False
صور,صور,صور,True
صور,اصور,اصور,False
صور,تصور,تصور,False
صور,تصورين,تصور,False
صور,تصوري,تصور,False
صور,تصوران,تصور,False
صور,تصورا,تصورا,False
صور,تصورنا,تصورنا,False
صور,يصور,يصور,False
صور,تصور,تصور,False
صور,يصوران,يصور,False
صور,يصورا,يصورا,False
صور,تصورنا,تصورنا,False
صور,تصورا,تصورا,False
صور,يصورون,يصور,False
صور,يصوروا,يصوروا,False
صور,يصورن,يصورن,False
صور,نصور,نصور,False
صور,صورت,صورت,False
صور,صورتي,صورت,False
صور,صور,صور,True
صور,صورتما,صورتما,False
صور,صورنا,صورنا,False
صور,صور,صور,True
صور,صورت,صورت,False
صور,صورا,صورا,False
صور,صورنا,صورنا,False
صور,صوروا,صوروا,False
صور,صورن,صورن,False
صور,صورنا,صورنا,False
صور,صور,صور,True
صور,صوري,صور,True
صور,صوروا,صوروا,False
صور,صورن,صورن,False
بقى,بقى,بقى,True
بقى,أبقى,ابقى,False
بقى,تبقى,تبقى,False
بقى,تبقين,تبق,False
بقى,تبقي,تبق,False
بقى,تبقوا,تبقوا,False
بقى,تبقون,تبق,False
بقى,تبقين,تبق,False
بقى,يبقى,يبقى,False
بقى,تبقى,تبقى,False
بقى,يبقيان,يبق,False
بقى,يبقا,يبقا,False
بقى,تبقيان,تبق,False
بقى,تبقيا,تبقيا,False
بقى,يبقون,يبق,False
بقى,يبقوا,يبقوا,False
بقى,يبقين,يبق,False
بقى,نبقى,نبقى,False
بقى,بقيت,بقيت,False
بقى,بقيت,بقيت,False
بقى,بقيتي,بقيت,False
بقى,بقيتم,بقيتم,False
بقى,بقيتن,بقيتن,False
بقى,بقى,بقى,True
بقى,بقت,بقت,False
بقى,بقوا,بقوا,False
بقى,بقين,بق,False
بقى,بقوا,بقوا,False
بقى,بقين,بق,False
بقى,بقينا,بقينا,False
بقى,أبق,ابق,False
بقى,أبقي,ابق,False
بقى,أبقوا,ابقوا,False
بقى,أبقين,ابق,False
لاح,لاح,لاح,True
لاح,ألوح,الوح,False
لاح,تلوح,تلوح,False
لاح,تلوحين,تلوح,False
لاح,تلوحين,تلوح,False
لاح,تلوحون,تلوح,False
لاح,تلوحوا,تلوحوا,False
لاح,تلحن,تلحن,False
لاح,يلوح,يلوح,False
لاح,تلوح,تلوح,False
لاح,يلوحان,يلوح,False
لاح,يلوحنا,يلوحنا,False
لاح,تلوحان,تلوح,False
لاح,تلوحان,تلوح,False
لاح,يلوحون,يلوح,False
لاح,يلوحوا,يلوحوا,False
لاح,يلحن,يلحن,False
لاح,نلوح,نلوح,False
لاح,لحت,لحت,False
لاح,لحت,لحت,False
لاح,لحت,لحت,False
لاح,لحتم,لحتم,False
لاح,لحن,لحن,False
لاح,لاح,لاح,True
لاح,لاحت,لاحت,False
لاح,لاحا,لاحا,False
لاح,لاحتا,لاحتا,False
لاح,لاحوا,لاحوا,False
لاح,لحن,لحن,False
لاح,لحنا,لحنا,False
لاح,لح,لح,False
لاح,لوحي,لوح,False
لاح,لوحوا,لوحوا,False
لاح,لحن,لحن,False
سأل,سأل,سال,False
سأل,أسأل,اسال,False
سأل,تسأل,تسال,False
سأل,تسألين,تسال,False
سأل,تسألي,تسال,False
سأل,تسألون,تسال,False
سأل,تسألوا,تسالوا,False
سأل,تسألن,تسالن,False
سأل,يسأل,يسال,False
سأل,تسأل,تسال,False
سأل,يسألان,يسال,False
سأل,يسألا,يسالا,False
سأل,تسألان,تسال,False
سأل,تسألا,تسالا,False
سأل,يسألون,يسال,False
سأل,يسألوا,يسالوا,False
سأل,يسألن,يسالن,False
سأل,نسأل,نسال,False
سأل,سألت,سالت,False
سأل,سألت,سالت,False
سأل,سألت,سالت,False
سأل,سألتم,سالتم,False
سأل,سألتن,سالتن,False
سأل,سأل,سال,False
سأل,سألت,سالت,False
سأل,سألا,سالا,False
سأل,سألتا,سالتا,False
