Original,Inflection,msarhan,is_same
أخذ,أخذ,أخذ,True
أخذ,تأخذ,أخذ,True
أخذ,تأخذين,أخذ,True
أخذ,تأخذي,أخذ,True
أخذ,تأخذون,أخذ,True
أخذ,تأخذوا,أخذ,True
أخذ,تأخذن,أخذ,True
أخذ,يأخذ,أخذ,True
أخذ,تأخذ,أخذ,True
أخذ,تأخذان,أخذ,True
أخذ,تأخذا,أخذ,True
أخذ,تأخذان,أخذ,True
أخذ,تأخذا,أخذ,True
أخذ,يأخذون,أخذ,True
أخذ,يأخذوا,أخذ,True
أخذ,يأخذن,أخذ,True
أخذ,نأخذ,أخذ,True
أخذ,أخذت,أخذ,True
أخذ,أخذت,أخذ,True
أخذ,أخذت,أخذ,True
أخذ,أخذتم,أخذ,True
أخذ,أخذتن,أخذ,True
أخذ,أخذ,أخذ,True
أخذ,أخذت,أخذ,True
أخذ,أخذا,خذأ,False
أخذ,أخذنا,أخذ,True
أخذ,أخذوا,أخذ,True
أخذ,أخذن,أخذ,True
أخذ,أخذنا,أخذ,True
أخذ,خذ,خذأ,False
أخذ,خذي,خذأ,False
أخذ,خذوا,خذأ,False
أخذ,خذن,خذأ,False
