Original,Inflection,rbl_ara_folding,is_same
أخذ,أخذ ,اخذ,False
أخذ,أخذ,اخذ,False
أخذ,تأخذ,اخذ,False
أخذ,تأخذين,اخذ,False
أخذ,تأخذي,اخذ,False
أخذ,تأخذون,اخذ,False
أخذ,تأخذوا,اخذ,False
أخذ,تأخذن,اخذ,False
أخذ,يأخذ,اخذ,False
أخذ,تأخذ,اخذ,False
أخذ,تأخذان,اخذ,False
أخذ,تأخذا,اخذ,False
أخذ,تأخذان,اخذ,False
أخذ,تأخذا,اخذ,False
أخذ,يأخذون,اخذ,False
أخذ,يأخذوا,اخذ,False
أخذ,يأخذن,اخذ,False
أخذ,نأخذ,اخذ,False
أخذ,أخذت,اخذ,False
أخذ,أخذت,اخذ,False
أخذ,أخذت,اخذ,False
أخذ,أخذتم,اخذ,False
أخذ,أخذتن,اخذ,False
أخذ,أخذ,اخذ,False
أخذ,أخذت,اخذ,False
أخذ,أخذا,اخذ,False
أخذ,أخذنا,اخذ,False
أخذ,أخذوا,اخذ,False
أخذ,أخذن,اخذ,False
أخذ,أخذنا,اخذ,False
أخذ,خذ,اخذ,False
أخذ,خذي,اخذ,False
أخذ,خذوا,اخذ,False
أخذ,خذن,,False
سوق,سوق,سوق,True
سوق,اسوق,ساق,False
سوق,تسوق,ساق,False
سوق,تسوقين,تسوق,False
سوق,تسوقي,ساق,False
سوق,تسوقون,سوق,True
سوق,تسوقوا,تسوق,False
سوق,تسوقن,تسوق,False
سوق,يسوق,ساق,False
سوق,تسوق,ساق,False
سوق,يسوقان,ساق,False
سوق,يسوقا,ساق,False
سوق,تسوقان ,ساق,False
سوق,تسوقا,تسوق,False
سوق,يسوقون,ساق,False
سوق,يسوقوا,ساق,False
سوق,يسوقن,سوق,True
سوق,نسوق,ساق,False
سوق,سوقت,سوق,True
سوق,تسوق,ساق,False
سوق,سوقت,سوق,True
سوق,سوقتوا,,False
سوق,سوقتن,سوق,True
سوق,سوق,سوق,True
سوق,سوقت,سوق,True
سوق,سوقا,سوق,True
سوق,سوقتنا,سوقة,False
سوق,سوقتن,سوق,True
سوق,سوقتن,سوق,True
سوق,سوقنا,سوق,True
سوق,سوق,سوق,True
سوق,سوقي,سوق,True
سوق,سوقا,سوق,True
سوق,سوقن,سوق,True
صور,صور,صور,True
صور,اصور,صور,True
صور,تصور,تصور,False
صور,تصورين,صور,True
صور,تصوري,صور,True
صور,تصوران,صور,True
صور,تصورا,تصور,False
صور,تصورنا,تصور,False
صور,يصور,صور,True
صور,تصور,تصور,False
صور,يصوران,صور,True
صور,يصورا,صور,True
صور,تصورنا,تصور,False
صور,تصورا,تصور,False
صور,يصورون,صور,True
صور,يصوروا,صور,True
صور,يصورن,صور,True
صور,نصور,صور,True
صور,صورت,صور,True
صور,صورتي,صورة,False
صور,صور,صور,True
صور,صورتما,صور,True
صور,صورنا,صور,True
صور,صور,صور,True
صور,صورت,صور,True
صور,صورا,صورة,False
صور,صورنا,صور,True
صور,صوروا,صور,True
صور,صورن,صور,True
صور,صورنا,صور,True
صور,صور,صور,True
صور,صوري,صوري,False
صور,صوروا,صور,True
صور,صورن,صور,True
بقى,بقى,بقي,False
بقى,أبقى,ابقى,False
بقى,تبقى,تبقى,False
بقى,تبقين,ابقى,False
بقى,تبقي,تبقى,False
بقى,تبقوا,تبقى,False
بقى,تبقون,ابقى,False
بقى,تبقين,ابقى,False
بقى,يبقى,بقي,False
بقى,تبقى,تبقى,False
بقى,يبقيان,بقي,False
بقى,يبقا,بق,False
بقى,تبقيان,بقي,False
بقى,تبقيا,تبقى,False
بقى,يبقون,بق,False
بقى,يبقوا,ابقى,False
بقى,يبقين,ابقى,False
بقى,نبقى,بقي,False
بقى,بقيت,بقي,False
بقى,بقيت,بقي,False
بقى,بقيتي,بقية,False
بقى,بقيتم,بقي,False
بقى,بقيتن,بقي,False
بقى,بقى,بقي,False
بقى,بقت,بق,False
بقى,بقوا,بق,False
بقى,بقين,بق,False
بقى,بقوا,بق,False
بقى,بقين,بق,False
بقى,بقينا,بقي,False
بقى,أبق,ابق,False
بقى,أبقي,ابقى,False
بقى,أبقوا,ابق,False
بقى,أبقين,ابق,False
لاح,لاح,,False
لاح,ألوح,لاح,True
لاح,تلوح,لاح,True
لاح,تلوحين,لاح,True
لاح,تلوحين,لاح,True
لاح,تلوحون,لوح,False
لاح,تلوحوا,لوح,False
لاح,تلحن,لحن,False
لاح,يلوح,لاح,True
لاح,تلوح,لاح,True
لاح,يلوحان,لاح,True
لاح,يلوحنا,لاح,True
لاح,تلوحان,لاح,True
لاح,تلوحان,لاح,True
لاح,يلوحون,لاح,True
لاح,يلوحوا,لاح,True
لاح,يلحن,لحن,False
لاح,نلوح,لاح,True
لاح,لحت,لح,False
لاح,لحت,لح,False
لاح,لحت,لح,False
لاح,لحتم,لاح,True
لاح,لحن,لحن,False
لاح,لاح,,False
لاح,لاحت,لاح,True
لاح,لاحا,لاح,True
لاح,لاحتا,لاح,True
لاح,لاحوا,لاح,True
لاح,لحن,لحن,False
لاح,لحنا,لاح,True
لاح,لح,لح,False
لاح,لوحي,وحي,False
لاح,لوحوا,لوح,False
لاح,لحن,لحن,False
سأل,سأل,سال,False
سأل,أسأل,اسال,False
سأل,تسأل,سال,False
سأل,تسألين,سال,False
سأل,تسألي,سال,False
سأل,تسألون,سال,False
سأل,تسألوا,تسال,False
سأل,تسألن,سال,False
سأل,يسأل,سال,False
سأل,تسأل,سال,False
سأل,يسألان,سال,False
سأل,يسألا,سال,False
سأل,تسألان,سال,False
سأل,تسألا,تسال,False
سأل,يسألون,سال,False
سأل,يسألوا,سال,False
سأل,يسألن,سال,False
سأل,نسأل,سال,False
سأل,سألت,سال,False
سأل,سألت,سال,False
سأل,سألت,سال,False
سأل,سألتم,التم,False
سأل,سألتن,سال,False
سأل,سأل,سال,False
سأل,سألت,سال,False
سأل,سألا,سال,False
سأل,سألتا,سال,False
سأل,سألوا,سال,False
سأل,سألن,الان,False
سأل,سألنا,سال,False
سأل,إسأل,,False
سأل,إسألي,,False
سأل,إسألوا,,False
سأل,إسألن,,False
شرى,شرى,شرى,True
شرى,أشتري,اشترى,False
شرى,تشتري,اشترى,False
شرى,تشترين,اشترى,False
شرى,تشتري,اشترى,False
شرى,تشترون,شتر,False
شرى,تشتروا,شتر,False
