Original,Inflection,ar_std_lem_folding1,is_same
واحد,واحد,احد,False
واحد,الواحد,واحد,True
واحد,واحداً,احدا,False
واحد,الواحدة,واحد,True
واحد,واحدة,احد,False
واحد,أحدى,احدى,False
أثنين,أثنين,اثن,False
أثنين,ثانية,ثان,False
أثنين,الثانية,ثان,False
أثنين,ثانياً,ثانيا,False
أثنين,أثنتين,اثنت,False
أثنين,أثنين,اثن,False
أثنين,الأثنين,اثن,False
أثنين,أثنان,اثن,False
أثنين,أثنتان,اثنت,False
أثنين,الأثنان,اثن,False
ثلاثة,ثلاثة,ثلاث,False
ثلاثة,ثلاث,ثلاث,False
ثلاثة,الثالثة,ثالث,False
ثلاثة,ثالثة,ثالث,False
ثلاثة,ثالث,ثالث,False
ثلاثة,الثالث,ثالث,False
ثلاثة,ثلاثين,ثلاث,False
ثلاثة,الثلاث,ثلاث,False
ثلاثة,الثلاثين,ثلاث,False
ثلاثة,ثالثاً,ثالثا,False
ثلاثة,ثلث,ثلث,False
ثلاثة,الثلث,ثلث,False
ثلاثة,ثلثين,ثلث,False
ثلاثة,الثلثين,ثلث,False
ثلاثة,الأثلاث,اثلاث,False
ثلاثة,الثلثان,ثلث,False
ثلاثة,ثلثان,ثلث,False
ثلاثة,مثلث,مثلث,False
ثلاثة,المثلث,مثلث,False
أربعة,أربعة,اربع,False
أربعة,أربع,اربع,False
أربعة,الأربع,اربع,False
أربعة,أربعين,اربع,False
أربعة,الأربعين,اربع,False
أربعة,الرابع,رابع,False
أربعة,رابعاً,رابعا,False
أربعة,الاربعون,اربع,False
أربعة,أربعون,اربع,False
أربعة,ربع,ربع,False
أربعة,الربع,ربع,False
أربعة,الارباع,ارباع,False
أربعة,المربع,مربع,False
أربعة,مربع,مربع,False
أربعة,الأربعة,اربع,False
خمسة,خمسة,خمس,False
خمسة,الخمسة,خمس,False
خمسة,خمس,خمس,False
خمسة,الخمس,خمس,False
خمسة, خمسون,خمس,False
خمسة,الخمسون,خمس,False
خمسة,خامساً,خامسا,False
خمسة,الخامس,خامس,False
خمسة,خمسين,خمس,False
خمسة,الخمسين,خمس,False
خمسة,الخماسي,خماس,False
خمسة,خماسي,خماس,False
ستة,ستة,ست,False
ستة,الستة,ست,False
ستة,ستون,ست,False
ستة,ستين,ست,False
ستة,الستون,ست,False
ستة,الستين,ست,False
ستة,السادس,سادس,False
ستة,سادساً,سادسا,False
ستة,سدس,سدس,False
ستة,السدس,سدس,False
سبعة,سبعة,سبع,False
سبعة,سبع,سبع,False
سبعة,السبعة,سبع,False
سبعة,سابع,سابع,False
سبعة,السابع,سابع,False
سبعة,سابعاً,سابعا,False
سبعة,السبع,سبع,False
سبعة,سبع,سبع,False
سبعة,سبعين,سبع,False
سبعة,السبعين,سبع,False
سبعة,سبعون,سبع,False
سبعة,السبعون,سبع,False
ثمانية,ثمانية,ثمان,False
ثمانية,ثمان,ثم,False
ثمانية,الثمانية,ثمان,False
ثمانية,ثمن,ثمن,False
ثمانية,الثمن,ثمن,False
ثمانية,الثامن,ثامن,False
ثمانية,ثامن,ثامن,False
ثمانية,ثامناً,ثامنا,False
ثمانية,ثمانين,ثمان,False
ثمانية,الثمانين,ثمان,False
ثمانية,ثمانون,ثمان,False
ثمانية,الثمانون,ثمان,False
ثمانية,الثامنة,ثامن,False
تسعة,تسعة,تسع,False
تسعة,تسع,تسع,False
تسعة,التسع,تسع,False
تسعة,التسعة,تسع,False
تسعة,تاسع,تاسع,False
تسعة,تاسعاً,تاسعا,False
تسعة,التاسع,تاسع,False
تسعة,تسع,تسع,False
تسعة,التسع,تسع,False
تسعة,التاسعة,تاسع,False
تسعة,تاسعة,تاسع,False
عشرة,عشرة,عشر,False
عشرة,العشرة,عشر,False
عشرة,عشرات,عشر,False
عشرة,عشر,عشر,False
عشرة,عشر,عشر,False
عشرة,العشر,عشر,False
