Original,Inflection,rbl_ara_folding,is_same
واحد,واحد,احد,False
واحد,الواحد,واحد,True
واحد,واحداً,واحد,True
واحد,الواحدة,واحد,True
واحد,واحدة,واحد,True
واحد,أحدى,حدي,False
أثنين,أثنين,اثنى,False
أثنين,ثانية,ثاني,False
أثنين,الثانية,ثاني,False
أثنين,ثانياً,ثاني,False
أثنين,أثنتين,,False
أثنين,أثنين,اثنى,False
أثنين,الأثنين,اثنين,False
أثنين,أثنان,,False
أثنين,أثنتان,,False
أثنين,الأثنان,اثنان,False
ثلاثة,ثلاثة,ثلاث,False
ثلاثة,ثلاث,ثلاث,False
ثلاثة,الثالثة,ثالث,False
ثلاثة,ثالثة,ثالث,False
ثلاثة,ثالث,ثالث,False
ثلاثة,الثالث,ثالث,False
ثلاثة,ثلاثين,ثلاثون,False
ثلاثة,الثلاث,ثلاث,False
ثلاثة,الثلاثين,ثلاثون,False
ثلاثة,ثالثاً,ثالث,False
ثلاثة,ثلث,ثلث,False
ثلاثة,الثلث,ثلث,False
ثلاثة,ثلثين,ثلث,False
ثلاثة,الثلثين,ثلث,False
ثلاثة,الأثلاث,ثلث,False
ثلاثة,الثلثان,ثلث,False
ثلاثة,ثلثان,ثلث,False
ثلاثة,مثلث,مثلث,False
ثلاثة,المثلث,مثلث,False
أربعة,أربعة,اربع,False
أربعة,أربع,اربع,False
أربعة,الأربع,اربع,False
أربعة,أربعين,اربعون,False
أربعة,الأربعين,اربعون,False
أربعة,الرابع,رابع,False
أربعة,رابعاً,رابع,False
أربعة,الاربعون,اربعون,False
أربعة,أربعون,اربعون,False
أربعة,ربع,ربع,False
أربعة,الربع,ربع,False
أربعة,الارباع,ربع,False
أربعة,المربع,مربع,False
أربعة,مربع,مربع,False
أربعة,الأربعة,اربع,False
خمسة,خمسة,خمس,False
خمسة,الخمسة,خمس,False
خمسة,خمس,خمس,False
خمسة,الخمس,خمس,False
خمسة, خمسون,خمسون,False
خمسة,الخمسون,خمسون,False
خمسة,خامساً,خامس,False
خمسة,الخامس,خامس,False
خمسة,خمسين,خمسون,False
خمسة,الخمسين,خمسون,False
خمسة,الخماسي,خماسي,False
خمسة,خماسي,خماس,False
ستة,ستة,ست,False
ستة,الستة,ست,False
ستة,ستون,ون,False
ستة,ستين,ستون,False
ستة,الستون,ستون,False
ستة,الستين,ستون,False
ستة,السادس,سادس,False
ستة,سادساً,سادس,False
ستة,سدس,سدس,False
ستة,السدس,سدس,False
سبعة,سبعة,سبع,False
سبعة,سبع,سبع,False
سبعة,السبعة,سبع,False
سبعة,سابع,سابع,False
سبعة,السابع,سابع,False
سبعة,سابعاً,سابع,False
سبعة,السبع,سبع,False
سبعة,سبع,سبع,False
سبعة,سبعين,سبعون,False
سبعة,السبعين,سبعون,False
سبعة,سبعون,سبعون,False
سبعة,السبعون,سبعون,False
ثمانية,ثمانية,ثماني,False
ثمانية,ثمان,ثماني,False
ثمانية,الثمانية,ثماني,False
ثمانية,ثمن,ثمن,False
ثمانية,الثمن,ثمن,False
ثمانية,الثامن,ثامن,False
ثمانية,ثامن,ثامن,False
ثمانية,ثامناً,ثامن,False
ثمانية,ثمانين,ثمانون,False
ثمانية,الثمانين,ثمانون,False
ثمانية,ثمانون,ثمانون,False
ثمانية,الثمانون,ثمانون,False
ثمانية,الثامنة,ثامن,False
تسعة,تسعة,تسع,False
تسعة,تسع,وسع,False
تسعة,التسع,تسع,False
تسعة,التسعة,تسع,False
تسعة,تاسع,تاسع,False
تسعة,تاسعاً,تاسع,False
تسعة,التاسع,تاسع,False
تسعة,تسع,وسع,False
تسعة,التسع,تسع,False
تسعة,التاسعة,تاسع,False
تسعة,تاسعة,تاسع,False
عشرة,عشرة,عشر,False
عشرة,العشرة,عشر,False
عشرة,عشرات,عشر,False
عشرة,عشر,عشر,False
عشرة,عشر,عشر,False
عشرة,العشر,عشر,False
