No.      Arabic                        English
1        أنا                             I
2        أنت                            You (male)
3        أنتِ                            You (female)
4        أنتما                            You (2 males)
5        أنتم                             You (2 females)
6        أنتن                            You (plural males)
7        هو                             He
8        هي                            She
9        هما                            They ()
10       هنا                             They ()
11       هم                             They ()
12       هن                             They ()
13       نحن                            we
14       انتما                            You (a male and a female)


# I don't think we need to deal with pronouns.
